fold,horizon,status,train_n,test_n,raw_auc,raw_msr,raw_x0,raw_x1,filtered_auc,filtered_msr,filtered_x0,filtered_x1,residual_auc,residual_msr,residual_x0,residual_x1,error
Auction_ZScore_CF_3,k=50,ok,82435,29285,0.5365688737973967,0.24925240166133816,0.026379500374067007,-0.15161595030532157,0.5345256320048541,0.24941742797587754,0.025291792052726456,-0.12248719338828902,0.48390101459168366,0.2502154004847344,0.023542510282076923,-0.17951197219092066,
Auction_ZScore_CF_3,k=100,ok,98905,34837,0.5292472462340528,0.2498000087247242,0.034132529423480405,-0.07159661442281093,0.5326128705856483,0.24969983353338313,0.03404698525983804,-0.07703146975634954,0.5221882541059163,0.2502261121845698,0.03251743853283309,0.024147470133438036,
Auction_ZScore_CF_4,k=10,ok,56654,15282,0.5792676271406858,0.24538941604865744,-0.0008599798537682537,-0.5079986716932513,0.4907513156454059,0.25002865239362715,-0.010734030889469219,-0.028533668463221612,0.6884947335128593,0.2281894819875119,-0.0002281469742809474,-2.6234997048242232,
Auction_ZScore_CF_4,k=20,ok,77094,20619,0.5200204616874051,0.24987963800682583,-0.01276459804895017,0.021178626099271156,0.5780389242530839,0.24619459319745748,-0.01627728370558695,0.32512205366215524,0.616304876695892,0.23991164149614916,-0.005348515441146368,-1.736118833584776,
Auction_ZScore_CF_4,k=30,ok,92448,24571,0.5027351124026402,0.2503297727346802,-0.005117890115792776,-0.12689928498649064,0.5310395468518282,0.24963744876624558,-0.008268611145626653,0.06074897282451068,0.5724076767753439,0.24694287663075046,-0.0032165149996555373,-1.088793468289998,
Auction_ZScore_CF_4,k=50,ok,111720,29494,0.5033109432659478,0.25059815479159425,0.005790959066096532,-0.16022259712128245,0.5022349012465552,0.25033041265231665,0.004860122505943966,-0.13597752605988395,0.47967234265305314,0.2501932321860248,0.003398013298512577,-0.1511642931132125,
Auction_ZScore_CF_4,k=100,ok,133742,34852,0.49466353231409155,0.2504535671531198,0.013969780226891366,-0.09204754811896611,0.49553634967710325,0.25040465669755935,0.01384469195459873,-0.1004938479645054,0.5238083386864827,0.24997267643317975,0.012417237336956044,0.04327124671208339,
Auction_ZScore_CF_5,k=10,ok,71936,15990,0.5820682180851064,0.244571664183716,-0.006037917870955974,-0.49373505611196555,0.4946931946182729,0.25001323568834005,-0.012829802744846337,-0.020067357968624557,0.6909982321652064,0.22703446025947582,-0.00654568993994545,-2.5640200941241167,
Auction_ZScore_CF_5,k=20,ok,97713,21386,0.5138540951278968,0.24997032944352107,-0.01414676729692725,0.03806685573606903,0.5704830997411431,0.24719394474918108,-0.01657879841438493,0.33754949610255425,0.6184526176384352,0.2396514430872698,-0.009605529178934698,-1.7032537460284094,
Auction_ZScore_CF_5,k=30,ok,117019,25487,0.5083619139894053,0.24990456819217627,-0.007446757553625219,-0.10304188748460337,0.524811145620875,0.24979537804274554,-0.009412337735921792,0.07626609633342016,0.5746458859545245,0.2464335404708506,-0.006292966444188812,-1.0262179131382478,
Auction_ZScore_CF_5,k=50,ok,141214,30533,0.5182904885754864,0.24960350264958964,0.0030552371044021247,-0.12973732403275784,0.5148807081206204,0.24973544747455922,0.0024707647447082632,-0.11300221128459143,0.4835594834014482,0.24992658742153837,0.0013623977518847745,-0.10633483798130994,
Auction_ZScore_CF_5,k=100,ok,168594,36251,0.5130597439964835,0.24981446673684968,0.01048335119668335,-0.06533295479794844,0.5159176726687373,0.2497545696981858,0.010461275753134339,-0.07544483627230561,0.520963685905134,0.250009695812363,0.009914697018217107,0.056336848810184026,
Auction_ZScore_CF_6,k=10,ok,87926,16035,0.5960266856270702,0.24309635590542356,-0.0028785520799778502,-0.48787126112516016,0.5098442845740833,0.24998082407001493,-0.010698103034118143,-0.0160260844506847,0.6958727827452029,0.22672457884764083,-0.0029401151365867468,-2.5399624720807754,
